country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Number of non-Nan Values 
Cote d'Ivoire,,,,,,,,,,,45.4,,,,,47.1,62.8,,,,68,55.1,56.8,,,,,,59.4,,7
Tanzania,,,,,,,,,43.9,,,,38.2,,,35.8,,,,,43.4,45.1,,,,,48.9,,61.4,,7
Turkey,,,,,,,,,,75.9,,,,,80.6,,,,,83,,,,89.3,91.3,95,,,,97.4,7
Turkmenistan,,,,,,,,,,,,,95.8,,,,97.2,,97.2,99.5,98.5,99.7,99.5,,,,,,,,7
Afghanistan,,,,,,,,,,,,,,,,,12.4,,,14.3,,,18.9,,24,,34.3,38.6,39.9,,7
Nepal,,,,,,,,7.4,,,,,9,,,,11.9,10.9,,,15.8,,18.7,,,,,36,,,7
Morocco,24,,,26,,,,,31,,,39.6,,45.6,,,,,,,62.6,,,,,,74.1,73.6,,,8
Philippines,,,,,,,,,,52.8,,,,,56.4,46.1,58,,,59.8,,,,,62.2,,,72.2,,72.8,8
Cambodia,,,,,,,,,,,,43.3,,,34,,31.8,,,,16.3,43.8,,,,,71,71.7,74,,8
Ghana,,,,,40.1,,,,,43.8,,,,,44.3,,,,,47.1,,,49.7,55.2,54.7,,,67.2,,,8
Guatemala,35,,,29.1,,,,,,,,34.8,,,,40.6,,,41.4,,,,,,,51.5,52.3,,,62.8,8
Mongolia,,,,,,,,,,,,,,,97.1,,96.6,,,98.6,99.7,99.2,,,99.4,,98.8,,,98.9,8
South Korea,,,,,,,98,97.9,,,98.4,,,99.6,,,99.9,,,99.9,,,,,,99.9,,,99.8,,8
Bolivia,,,,,,42.1,,,,,47.2,,,,59.3,,67.3,,65.1,60.8,,,,,71.1,,,84,84.8,,9
Kiribati,,,,,,,60,,,,72,,,,85,,85,,76,,,63,,,65,79.8,98.3,,,,9
Cape Verde,,,,,,,,,,,,54,,,88.5,,,,,,,77.5,76.4,74.4,74.6,75.6,98.5,98.7,,92.3,10
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,88,83.8,82.8,85.7,81.6,84.6,,82.7,88,,90,100,,,,,10
Vanuatu,,,,,,,79,,,,87,89.1,,,,88,88,,,84,,92,92.9,74,,,,,,89.4,10
Dominican Republic,,,89.8,,,,,92.4,,,,,95.5,,,96.6,97.6,,97.8,,,,95.5,97.8,,,96.9,,,98.6,10
Egypt,,,,,34.6,,,36.5,40.7,,,46.3,,56.4,55.2,,60.9,,,69.4,,74.2,,,78.9,,,,,,10
